PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,PTS_per_min,AST_per_min,STL_per_min,REB_per_min,PLUS_MINUS_per_min,value_score,hidden_gem_score
1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,26.0,36,25,11,0.694,16.1,1.6,3.4,0.488,0.3,0.9,0.281,0.6,1.0,0.556,1.9,3.2,5.1,1.1,0.8,1.0,0.3,0.5,1.9,1.1,4.1,1.0,14.8,0,0,13.0,370,252,425,76,349,407,421,157,432,445,408,389,314,500,62,172,122,353,309,121,287,192,201,286,423,170,323,281,44,346,1,0.2546583850931677,0.06832298136645963,0.06211180124223602,0.31677018633540366,1.0,3.829614906832298,1.1718621614906835
1629750,Javonte Green,Javonte,1610612739,CLE,31.0,68,24,44,0.353,18.5,1.8,4.2,0.429,0.7,2.1,0.326,0.8,1.1,0.724,0.9,2.3,3.2,0.8,0.5,1.0,0.5,0.2,1.4,1.1,5.1,-3.1,14.0,0,0,12.6,138,261,42,428,311,388,379,355,332,329,322,298,292,360,236,293,280,428,428,124,184,390,328,291,377,463,338,281,44,352,2,0.27567567567567564,0.043243243243243246,0.05405405405405406,0.17297297297297298,-3.1,-4.5764054054054055,-2.9609342972972974
1629637,Jaxson Hayes,Jaxson,1610612747,LAL,25.0,56,38,18,0.679,19.5,2.9,4.0,0.722,0.0,0.1,0.0,1.1,1.8,0.622,1.4,3.4,4.8,1.0,0.8,0.6,0.9,0.2,2.4,2.0,6.8,1.6,17.8,2,0,15.6,246,110,345,82,285,272,387,5,499,531,499,242,198,474,111,146,140,380,319,330,58,405,67,132,306,135,266,159,44,293,1,0.3487179487179487,0.05128205128205128,0.030769230769230767,0.24615384615384614,1.6,5.378410256410257,1.7264696923076923
1631119,Jaylin Williams,Jaylin,1610612760,OKC,23.0,47,40,7,0.851,16.7,2.1,4.7,0.439,1.3,3.3,0.399,0.5,0.6,0.767,1.0,4.6,5.6,2.6,0.7,0.5,0.6,0.1,1.7,0.9,5.9,6.4,18.9,4,3,17.5,298,89,467,18,337,359,352,312,192,226,88,407,418,280,178,81,103,155,328,373,112,475,251,328,348,18,239,116,11,254,1,0.3532934131736527,0.15568862275449102,0.029940119760479042,0.33532934131736525,6.4,15.005467065868265,2.235814592814372
1630288,Jeff Dowtin Jr.,Jeff,1610612755,PHI,28.0,41,10,31,0.244,15.1,2.7,5.6,0.487,0.7,1.7,0.4,0.8,1.1,0.733,0.3,1.2,1.5,1.9,0.4,0.6,0.3,0.3,0.7,0.9,7.0,-2.5,13.8,0,0,12.8,336,419,158,499,363,284,305,161,330,364,78,301,296,342,478,444,461,228,465,312,278,308,477,322,299,440,340,281,44,351,1,0.4635761589403974,0.12582781456953643,0.039735099337748346,0.09933774834437087,-2.5,-2.6918079470198677,-2.03500680794702
1630526,Jeremiah Robinson-Earl,Jeremiah,1610612740,NOP,24.0,66,17,49,0.258,18.8,2.4,5.3,0.455,0.8,2.5,0.341,0.7,0.8,0.836,1.7,3.1,4.8,1.3,0.8,0.6,0.1,0.3,1.2,0.7,6.3,-5.0,15.4,4,0,14.7,156,323,19,487,301,327,313,260,295,298,273,345,369,127,82,184,142,322,318,311,448,328,379,378,331,515,314,116,44,313,1,0.33510638297872336,0.06914893617021277,0.031914893617021274,0.2553191489361702,-5.0,-8.082234042553191,-5.9970176595744675
1630548,Johnny Juzang,Johnny,1610612762,UTA,24.0,64,15,49,0.234,19.8,3.2,7.4,0.429,1.8,4.9,0.376,0.7,0.8,0.849,0.7,2.2,2.9,1.1,0.6,0.6,0.1,0.2,2.0,0.7,8.9,-5.6,15.6,0,0,16.2,170,349,19,504,275,236,225,351,109,119,148,343,370,108,320,314,321,373,402,295,433,365,178,398,229,531,311,281,44,284,1,0.4494949494949495,0.05555555555555556,0.0303030303030303,0.14646464646464646,-5.6,-9.104333333333333,-6.973919333333333
202685,Jonas Valančiūnas,Jonas,1610612758,SAC,33.0,81,23,58,0.284,18.8,4.3,7.7,0.55,0.1,0.5,0.216,1.8,2.0,0.879,2.3,5.4,7.7,2.0,1.5,0.5,0.6,0.5,2.2,2.1,10.4,-3.8,24.3,21,0,22.3,12,265,3,468,299,154,205,69,478,485,466,133,161,70,39,42,42,206,143,380,123,187,114,130,175,488,146,28,44,161,2,0.5531914893617021,0.10638297872340426,0.026595744680851064,0.4095744680851064,-3.8,-4.714893617021276,-3.3758638297872334
1628371,Jonathan Isaac,Jonathan,1610612753,ORL,27.0,71,35,36,0.493,15.4,1.9,4.6,0.414,0.5,2.1,0.258,1.0,1.5,0.682,1.7,2.7,4.4,0.6,0.5,0.9,1.1,0.2,1.3,1.1,5.4,-0.5,17.0,2,0,14.9,108,149,106,291,359,380,363,409,356,325,434,254,230,420,80,230,163,479,432,171,33,404,361,282,367,288,283,159,44,310,1,0.35064935064935066,0.03896103896103896,0.05844155844155844,0.28571428571428575,-0.5,0.9464675324675325,0.479859038961039
1630228,Jonathan Kuminga,Jonathan,1610612744,GSW,22.0,47,28,19,0.596,24.3,5.5,12.1,0.454,1.0,3.2,0.305,3.3,5.0,0.668,1.2,3.4,4.6,2.2,1.5,0.8,0.4,1.0,1.9,3.1,15.3,0.2,26.4,2,0,25.6,298,220,329,179,197,96,94,264,271,231,374,57,33,437,145,143,150,190,136,194,190,27,189,66,92,224,123,159,44,126,1,0.6296296296296297,0.09053497942386832,0.03292181069958848,0.18930041152263372,0.2,3.1791028806584363,1.2843575637860083
